Week,Delivery: (Worldwide)
24/11/2019,30
01/12/2019,33
08/12/2019,33
15/12/2019,36
22/12/2019,36
29/12/2019,34
05/01/2020,31
12/01/2020,30
19/01/2020,31
26/01/2020,31
02/02/2020,32
09/02/2020,36
16/02/2020,33
23/02/2020,31
01/03/2020,32
08/03/2020,36
15/03/2020,77
22/03/2020,100
29/03/2020,98
05/04/2020,92
12/04/2020,78
19/04/2020,71
26/04/2020,67
03/05/2020,66
10/05/2020,61
17/05/2020,54
24/05/2020,52
31/05/2020,50
07/06/2020,47
14/06/2020,46
21/06/2020,45
28/06/2020,45
05/07/2020,44
12/07/2020,43
19/07/2020,43
26/07/2020,42
02/08/2020,42
09/08/2020,41
16/08/2020,40
23/08/2020,39
30/08/2020,39
06/09/2020,39
13/09/2020,37
20/09/2020,38
27/09/2020,40
04/10/2020,36
11/10/2020,37
18/10/2020,37
25/10/2020,37
01/11/2020,37
08/11/2020,41
15/11/2020,40
