Week,Restaurant: (Worldwide)
24/11/2019,79
01/12/2019,78
08/12/2019,83
15/12/2019,82
22/12/2019,100
29/12/2019,100
05/01/2020,80
12/01/2020,82
19/01/2020,83
26/01/2020,81
02/02/2020,79
09/02/2020,93
16/02/2020,84
23/02/2020,78
01/03/2020,75
08/03/2020,63
15/03/2020,49
22/03/2020,32
29/03/2020,30
05/04/2020,31
12/04/2020,32
19/04/2020,34
26/04/2020,37
03/05/2020,40
10/05/2020,46
17/05/2020,47
24/05/2020,54
31/05/2020,57
07/06/2020,65
14/06/2020,67
21/06/2020,71
28/06/2020,73
05/07/2020,76
12/07/2020,78
19/07/2020,79
26/07/2020,82
02/08/2020,84
09/08/2020,85
16/08/2020,87
23/08/2020,81
30/08/2020,80
06/09/2020,81
13/09/2020,76
20/09/2020,74
27/09/2020,74
04/10/2020,72
11/10/2020,70
18/10/2020,66
25/10/2020,62
01/11/2020,55
08/11/2020,55
15/11/2020,54
